0,1
Datasets/IAM_Sentences/sentences/g07/g07-000b/g07-000b-s01-07.png,degree about the matter ' .
Datasets/IAM_Sentences/sentences/h07/h07-025a/h07-025a-s00-02.png,for women and girls ) are 82 per cent and
Datasets/IAM_Sentences/sentences/g07/g07-007b/g07-007b-s00-03.png,the most elementary duties towards the dead .
Datasets/IAM_Sentences/sentences/g06/g06-047m/g06-047m-s01-02.png,consulted in May 1834 .
Datasets/IAM_Sentences/sentences/g06/g06-037n/g06-037n-s02-00.png,While he was in Naples there had
Datasets/IAM_Sentences/sentences/c03/c03-021d/c03-021d-s01-05.png,her hour of need .
Datasets/IAM_Sentences/sentences/g06/g06-011b/g06-011b-s01-01.png,enjoyed it as much as his health
Datasets/IAM_Sentences/sentences/g06/g06-050m/g06-050m-s02-03.png,"charming character , even-tempered and"
Datasets/IAM_Sentences/sentences/c03/c03-007b/c03-007b-s00-00.png,In A Taste of Honey Mr. Richardson has taken a
Datasets/IAM_Sentences/sentences/a01/a01-020u/a01-020u-s00-01.png,at Lancaster House despite the crisis
Datasets/IAM_Sentences/sentences/a01/a01-113u/a01-113u-s00-02.png,different from that of Labour .
Datasets/IAM_Sentences/sentences/c03/c03-081b/c03-081b-s01-01.png,Miss Pinkie Johnstone makes her few brief scenes
Datasets/IAM_Sentences/sentences/g06/g06-047e/g06-047e-s00-00.png,"This remarkable man of medicine , whom Sir Francis Burdett"
Datasets/IAM_Sentences/sentences/h07/h07-080a/h07-080a-s02-02.png,which cannot be filled locally are filled as far as
Datasets/IAM_Sentences/sentences/g06/g06-047p/g06-047p-s00-03.png,number of disciples among unorthodox medical men in the
Datasets/IAM_Sentences/sentences/g06/g06-047l/g06-047l-s00-01.png,Burdett described to Anglesey a year or two later as
Datasets/IAM_Sentences/sentences/g06/g06-026m/g06-026m-s01-01.png,I have an Italian who is perhaps the best
Datasets/IAM_Sentences/sentences/g06/g06-037r/g06-037r-s03-01.png,the numerous conventional remedies to which he had
Datasets/IAM_Sentences/sentences/g06/g06-011i/g06-011i-s05-03.png,as the troops are very fine . '
Datasets/IAM_Sentences/sentences/g06/g06-011p/g06-011p-s02-01.png,"' is arrived , which is a great resource ."
Datasets/IAM_Sentences/sentences/g06/g06-045o/g06-045o-s00-08.png,"its founder , the aged Dr. Samuel"
Datasets/IAM_Sentences/sentences/g07/g07-000a/g07-000a-s01-03.png,HIS BODY TO RETURN TO ENGLAND THAN THAT
Datasets/IAM_Sentences/sentences/g06/g06-031i/g06-031i-s03-01.png,for my country !
Datasets/IAM_Sentences/sentences/c03/c03-087f/c03-087f-s01-02.png,little more faith in the way in which Mr.
Datasets/IAM_Sentences/sentences/h07/h07-030a/h07-030a-s00-02.png,of the shopping area to companies experienced
Datasets/IAM_Sentences/sentences/g06/g06-050k/g06-050k-s00-01.png,"master at Ko""then , near Leipzig , asking"
Datasets/IAM_Sentences/sentences/f07/f07-019b/f07-019b-s00-05.png,"the dishes of the country , and , instead"
Datasets/IAM_Sentences/sentences/g06/g06-047p/g06-047p-s00-02.png,"God upon earth than a human being ' , had an increasing"
Datasets/IAM_Sentences/sentences/g06/g06-047b/g06-047b-s01-02.png,whom Anglesey consulted in May 1834 .
Datasets/IAM_Sentences/sentences/c03/c03-096a/c03-096a-s02-02.png,"that , because of their odd accents , they"
Datasets/IAM_Sentences/sentences/c03/c03-016a/c03-016a-s02-00.png,In such
Datasets/IAM_Sentences/sentences/h07/h07-063b/h07-063b-s01-00.png,Government
Datasets/IAM_Sentences/sentences/g06/g06-026b/g06-026b-s03-01.png,this letter he heard of the fall of
Datasets/IAM_Sentences/sentences/g06/g06-018a/g06-018a-s02-01.png,"been much rain and damp , but the temperature"
Datasets/IAM_Sentences/sentences/c03/c03-007e/c03-007e-s00-01.png,taken a town in the industrial North of
